operationId,tags,url
clearTranslation,Metadata Access Services: Open Metadata Store Services,/servers/{serverName}/open-metadata/access-services/open-metadata-store/users/{userId}/multi-language/clear-translation/{elementGUID}
createMetadataElementInStore,Metadata Access Services: Open Metadata Store Services,/servers/{serverName}/open-metadata/access-services/open-metadata-store/users/{userId}/metadata-elements
withdrawMetadataElement,Metadata Access Services: Open Metadata Store Services,/servers/{serverName}/open-metadata/access-services/open-metadata-store/users/{userId}/metadata-elements/{metadataElementGUID}/withdraw
updateMetadataElementInStore,Metadata Access Services: Open Metadata Store Services,/servers/{serverName}/open-metadata/access-services/open-metadata-store/users/{userId}/metadata-elements/{metadataElementGUID}/update-properties
updateMetadataElementEffectivityInStore,Metadata Access Services: Open Metadata Store Services,/servers/{serverName}/open-metadata/access-services/open-metadata-store/users/{userId}/metadata-elements/{metadataElementGUID}/update-effectivity
publishMetadataElement,Metadata Access Services: Open Metadata Store Services,/servers/{serverName}/open-metadata/access-services/open-metadata-store/users/{userId}/metadata-elements/{metadataElementGUID}/publish
deleteMetadataElementInStore,Metadata Access Services: Open Metadata Store Services,/servers/{serverName}/open-metadata/access-services/open-metadata-store/users/{userId}/metadata-elements/{metadataElementGUID}/delete
classifyMetadataElementInStore,Metadata Access Services: Open Metadata Store Services,/servers/{serverName}/open-metadata/access-services/open-metadata-store/users/{userId}/metadata-elements/{metadataElementGUID}/classifications/{classificationName}
reclassifyMetadataElementInStore,Metadata Access Services: Open Metadata Store Services,/servers/{serverName}/open-metadata/access-services/open-metadata-store/users/{userId}/metadata-elements/{metadataElementGUID}/classifications/{classificationName}/update-properties
updateClassificationEffectivityInStore,Metadata Access Services: Open Metadata Store Services,/servers/{serverName}/open-metadata/access-services/open-metadata-store/users/{userId}/metadata-elements/{metadataElementGUID}/classifications/{classificationName}/update-effectivity
declassifyMetadataElementInStore,Metadata Access Services: Open Metadata Store Services,/servers/{serverName}/open-metadata/access-services/open-metadata-store/users/{userId}/metadata-elements/{metadataElementGUID}/classifications/{classificationName}/delete
archiveMetadataElementInStore,Metadata Access Services: Open Metadata Store Services,/servers/{serverName}/open-metadata/access-services/open-metadata-store/users/{userId}/metadata-elements/{metadataElementGUID}/archive
getMetadataElementRelationships,Metadata Access Services: Open Metadata Store Services,/servers/{serverName}/open-metadata/access-services/open-metadata-store/users/{userId}/metadata-elements/{metadataElementAtEnd1GUID}/linked-by-type/{relationshipTypeName}/to-elements/{metadataElementAtEnd2GUID}
